Cell type,Symbol
Megakaryocyte,TPCN2
Megakaryocyte,SLC25A40
Megakaryocyte,ZNF675
Megakaryocyte,FAM110A
Megakaryocyte,CLU
Megakaryocyte,SSX2IP
Megakaryocyte,DPEP2
Megakaryocyte,TMSB4X
Megakaryocyte,KCTD7
Megakaryocyte,BCL2L14
NK_cell,GNLY
NK_cell,NKG7
NK_cell,GZMB
NK_cell,KLRD1
NK_cell,KLRF1
NK_cell,CCL4
NK_cell,SPON2
NK_cell,PRF1
NK_cell,CST7
NK_cell,FGFBP2
NK_cell,GZMA
NK_cell,KLRB1
NK_cell,TGFBR3
NK_cell,CD247
NK_cell,CCL5
NK_cell,PTPN12
NK_cell,RAP1GAP2
NK_cell,MCTP2
NK_cell,AC015849.2
NK_cell,CLIC3
NK_cell,HOPX
NK_cell,IFITM2
NK_cell,CTSW
NK_cell,C1orf21
NK_cell,AOAH
NK_cell,AC007464.1
NK_cell,NCALD
NK_cell,KLRC4-KLRK1
NK_cell,GZMH
NK_cell,GPR141
NK_cell,SAMD3
NK_cell,CD7
NK_cell,PPP2R2B
NK_cell,PYHIN1
NK_cell,KLRC1
NK_cell,ADGRG5
NK_cell,TRDC
NK_cell,IL2RB
NK_cell,AE000661.37
NK_cell,LINC00299
NK_cell,FCGR3A
NK_cell,SH2D1B
NK_cell,RP11-277P12.6
NK_cell,FCRL6
NK_cell,B2M
NK_cell,XCL2
NK_cell,ADGRG1
NK_cell,AKR1C3
NK_cell,NCR1
NK_cell,TYROBP
NK_cell,PIP4K2A
NK_cell,FCER1G
NK_cell,CX3CR1
NK_cell,PDGFD
NK_cell,TMSB4X
NK_cell,SRGN
NK_cell,IGFBP7
NK_cell,SYTL3
NK_cell,PLAC8
NK_cell,STAT4
NK_cell,GNG2
NK_cell,HCST
NK_cell,PRKCH
NK_cell,TTC38
NK_cell,CTB-91J4.1
NK_cell,SYNE1
NK_cell,CD38
NK_cell,TOX
NK_cell,LINGO2
NK_cell,MALAT1
NK_cell,MYBL1
NK_cell,PPP2R5C
NK_cell,HLA-B
NK_cell,RUNX3
NK_cell,LAIR2
NK_cell,GZMM
NK_cell,CD300A
NK_cell,PFN1
NK_cell,OSBPL5
NK_cell,NCR3
NK_cell,SKAP1
NK_cell,ITGAL
NK_cell,IQGAP2
NK_cell,MYO1F
NK_cell,EPDR1
NK_cell,CARD11
NK_cell,ZEB2
NK_cell,MYOM2
NK_cell,BNC2
NK_cell,ITGB2
NK_cell,HLA-C
NK_cell,CMC1
NK_cell,FAM49B
NK_cell,GFOD1
NK_cell,PITPNC1
NK_cell,PRR5L
NK_cell,CBLB
NK_cell,CYBA
NK_cell,NCAM1
NK_cell,VAV3
